科学部,合计,,高等院校,,科研单位,其他,
,项数,金额,项数,金额,金额,项数,金额
合计,2937,110333,2646,99364.8,7551.7,98,3416.5
,100.00%,100.00%,90.09%,90.06%,6.84%,3.34%,3.10%
数理科学部,175,6990,174,6946,0,1,44
,100.00%,100.00%,99.43%,99.37%,0.00%,0.57%,0.63%
化学科学部,235,9400,228,9120,280,0,0
,100.00%,100.00%,97.02%,97.02%,2.98%,0.00%,0.00%
生命科学部,739,29260,590,23379,5769,3,112
,100.00%,100.00%,79.84%,79.90%,19.72%,0.41%,0.38%
地球科学部,179,7140,159,6361.2,698.8,2,80
,100.00%,100.00%,88.83%,89.09%,9.79%,1.12%,1.12%
工程与材料科学部,344,13750,337,13466,284,0,0
,100.00%,100.00%,97.97%,97.93%,2.07%,0.00%,0.00%
信息科学部,225,8519,225,8519,0,0,0
,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%
管理科学部,145,4074,144,4045.3,0,1,28.7
,100.00%,100.00%,99.31%,99.30%,0.00%,0.69%,0.70%
医学科学部,895,31200,789,27528.3,519.9,91,3151.8
,100.00%,100.00%,88.16%,88.23%,1.67%,10.17%,10.10%
