,受理项数,受理金额,批准项数,批准金额
合计,5421,704730,400,52000
数理科学部,637,82810,47,6110
数学,187,24310,13,1690
力学,131,17030,9,1170
天文学,62,8060,5,650
物理学I,115,14950,12,1560
物理学II,142,18460,8,1040
化学科学部,750,97500,57,7410
合成化学,117,15210,9,1170
催化与表界面化学,45,5850,3,390
化学理论与机制,68,8840,5,650
化学测量学,112,14560,8,1040
材料化学与能源化学,112,14560,9,1170
环境化学,103,13390,8,1040
化学生物学,60,7800,5,650
化学工程与工业化学,133,17290,10,1300
生命科学部,775,100750,58,7540
微生物学、植物学,102,13260,5,650
生态学、林学,124,16120,6,780
"生物物理、生化与生物分子学、
生物力学与组织工程、免疫学",111,14430,11,1430
"神经、认识与心理学、生理学与
整合生物学",69,8970,5,650
"遗传学与生物信息学、细胞生物
学、发育生物学与生殖生物学",101,13130,8,1040
食品科学、农学基础与作物学,84,10920,5,650
"植物保护学、园艺学与植物营养
学",61,7930,7,910
"动物学、畜牧学与草地科学、兽
医学、水产学",123,15990,11,1430
地球科学部,558,72540,40,5200
地理学,111,14430,6,780
地质学,88,11440,6,780
地球化学,21,2730,4,520
地球物理学和空间物理学,69,8970,5,650
大气科学学科,52,6760,5,650
海洋科学,63,8190,5,650
环境地球科学和土壤学,154,20020,9,1170
工程与材料科学部,1013,131690,74,9620
金属材料学科,94,12220,7,910
无机非金属材料学科,138,17940,11,1430
有机高分子材料学科,102,13260,8,1040
冶金与矿业学科,106,13780,7,910
机械工程学科,120,15600,9,1170
工程热物理与能源利用学科,89,11570,6,780
电气科学与工程学科,77,10010,6,780
建筑环境与结构工程学科,162,21060,12,1560
水利科学与海洋工程学科,125,16250,8,1040
信息科学部,869,112970,60,7800
电子学与信息系统,245,31850,15,1950
计算机科学学科,122,15860,10,1300
自动化学科,249,32370,17,2210
半导体科学、光学和光电子学,253,32890,18,2340
管理科学部,189,24570,14,1820
管理综合处,189,24570,14,1820
医学科学部,630,81900,50,6500
医学一处,58,7540,5,650
医学二处,85,11050,7,910
医学三处,53,6890,6,780
医学四处,35,4550,3,390
医学五处,67,8710,5,650
医学六处,51,6630,4,520
医学七处,101,13130,7,910
医学八处,37,4810,3,390
医学九处,82,10660,5,650
医学十处,61,7930,5,650
